# Nmap 6.01 scan initiated Tue Apr 16 09:39:29 2013 as: /usr/local/bin/nmap -oN 192.168.0.0_24.nmap.txt -vvv --reason -T4 -sV --script=banner -O -sU -sS -p U:623,624,69,161,162,5900,5901,623,624,69,161,162,5900,5901,1900,1278,1279,2606,2607,4995,1188,T:22,23,80,161,162,443,623,5900,5901,8080,22,23,80,161,162,443,623,5900,5901,8080,555,4988,5120,5123,50000,8889,17990,1278,1279,2606,2607,3269,3668,3669,5869,5981,8192,1188,3002,3389,9300,17988,17990,5120 -v 192.168.0.0/24
Nmap scan report for 192.168.0.0 [host down, received no-response]
OS:516D7FBC%P=i686-pc-linux-gnu)SEQ(SP=102%GCD=1%ISR=107%TI=Z%CI=Z%II=I%TS=
OS:A)OPS(O1=M5B4ST11NW6%O2=M5B4ST11NW6%O3=M5B4NNT11NW6%O4=M5B4ST11NW6%O5=M5
OS:B4ST11NW6%O6=M5B4ST11)WIN(W1=3890%W2=3890%W3=3890%W4=3890%W5=3890%W6=389
OS:0)ECN(R=Y%DF=Y%T=41%W=3908%O=M5B4NNSNW6%CC=Y%Q=)T1(R=Y%DF=Y%T=41%S=O%A=S
OS:+%F=AS%RD=0%Q=)T2(R=N)T3(R=N)T4(R=Y%DF=Y%T=41%W=0%S=A%A=Z%F=R%O=%RD=0%Q=
OS:)T5(R=Y%DF=Y%T=41%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)T6(R=Y%DF=Y%T=41%W=0%S=A%
OS:A=Z%F=R%O=%RD=0%Q=)T7(R=Y%DF=Y%T=41%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)U1(R=Y%
OS:DF=N%T=41%IPL=164%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)IE(R=Y%DFI=N%T=
OS:41%CD=S)

Uptime guess: 22.854 days (since Sun Mar 24 13:14:28 2013)
Network Distance: 1 hop
TCP Sequence Prediction: Difficulty=258 (Good luck!)
IP ID Sequence Generation: All zeros

Nmap scan report for pi.fish2.com (192.168.0.14)
Host is up, received arp-response (0.00048s latency).
Scanned at 2013-04-16 09:39:29 PDT for 221s
PORT      STATE  SERVICE          REASON       VERSION
22/tcp    open   ssh              syn-ack      OpenSSH 6.0p1 Debian 4 (protocol 2.0)
|_banner: SSH-2.0-OpenSSH_6.0p1 Debian-4
23/tcp    closed telnet           reset
80/tcp    closed http             reset
161/tcp   closed snmp             reset
162/tcp   closed snmptrap         reset
443/tcp   closed https            reset
555/tcp   closed dsf              reset
623/tcp   closed oob-ws-http      reset
1188/tcp  closed hp-webadmin      reset
1278/tcp  closed unknown          reset
1279/tcp  closed dellwebadmin-2   reset
2606/tcp  closed netmon           reset
2607/tcp  closed connection       reset
3002/tcp  closed exlm-agent       reset
3269/tcp  closed globalcatLDAPssl reset
3389/tcp  closed ms-wbt-server    reset
3668/tcp  closed unknown          reset
3669/tcp  closed casanswmgmt      reset
4988/tcp  closed unknown          reset
5120/tcp  closed unknown          reset
5123/tcp  closed unknown          reset
5869/tcp  closed unknown          reset
5900/tcp  closed vnc              reset
5901/tcp  closed vnc-1            reset
5981/tcp  closed unknown          reset
8080/tcp  closed http-proxy       reset
8192/tcp  closed sophos           reset
8889/tcp  closed ddi-tcp-2        reset
9300/tcp  closed vrace            reset
17988/tcp closed unknown          reset
17990/tcp closed unknown          reset
50000/tcp closed ibm-db2          reset
69/udp    closed tftp             port-unreach
161/udp   closed snmp             port-unreach
162/udp   closed snmptrap         port-unreach
623/udp   closed asf-rmcp         port-unreach
624/udp   closed unknown          port-unreach
1188/udp  closed hp-webadmin      port-unreach
1278/udp  closed unknown          port-unreach
1279/udp  closed dellwebadmin-2   port-unreach
1900/udp  closed upnp             port-unreach
2606/udp  closed unknown          port-unreach
2607/udp  closed unknown          port-unreach
4995/udp  closed unknown          port-unreach
5900/udp  closed rfb              port-unreach
5901/udp  closed unknown          port-unreach
MAC Address: B8:27:EB:79:0D:AC (Raspberry Pi Foundation)
No exact OS matches for host (If you know what OS is running on it, see http://nmap.org/submit/ ).
TCP/IP fingerprint:
OS:SCAN(V=6.01%E=4%D=4/16%OT=22%CT=23%CU=69%PV=Y%DS=1%DC=D%G=Y%M=B827EB%TM=
OS:516D7FBC%P=i686-pc-linux-gnu)SEQ(SP=FD%GCD=1%ISR=10D%TI=Z%CI=Z%II=I%TS=7
OS:)OPS(O1=M5B4ST11NW6%O2=M5B4ST11NW6%O3=M5B4NNT11NW6%O4=M5B4ST11NW6%O5=M5B
OS:4ST11NW6%O6=M5B4ST11)WIN(W1=3890%W2=3890%W3=3890%W4=3890%W5=3890%W6=3890
OS:)ECN(R=Y%DF=Y%T=41%W=3908%O=M5B4NNSNW6%CC=Y%Q=)T1(R=Y%DF=Y%T=41%S=O%A=S+
OS:%F=AS%RD=0%Q=)T2(R=N)T3(R=N)T4(R=Y%DF=Y%T=41%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)
OS:T5(R=Y%DF=Y%T=41%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)T6(R=Y%DF=Y%T=41%W=0%S=A%A
OS:=Z%F=R%O=%RD=0%Q=)T7(R=Y%DF=Y%T=41%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)U1(R=Y%D
OS:F=N%T=41%IPL=164%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)IE(R=Y%DFI=N%T=4
OS:1%CD=S)

Uptime guess: 19.757 days (since Wed Mar 27 15:33:02 2013)
Network Distance: 1 hop
TCP Sequence Prediction: Difficulty=253 (Good luck!)
IP ID Sequence Generation: All zeros
Service Info: OS: Linux; CPE: cpe:/o:linux:kernel

Nmap scan report for 192.168.0.16
Host is up, received arp-response (0.071s latency).
Scanned at 2013-04-16 09:39:29 PDT for 231s
PORT      STATE  SERVICE          REASON       VERSION
22/tcp    closed ssh              reset
23/tcp    closed telnet           reset
80/tcp    open   tcpwrapped       syn-ack
161/tcp   closed snmp             reset
162/tcp   closed snmptrap         reset
443/tcp   closed https            reset
555/tcp   closed dsf              reset
623/tcp   closed oob-ws-http      reset
1188/tcp  closed hp-webadmin      reset
1278/tcp  closed unknown          reset
1279/tcp  closed dellwebadmin-2   reset
2606/tcp  closed netmon           reset
2607/tcp  closed connection       reset
3002/tcp  closed exlm-agent       reset
3269/tcp  closed globalcatLDAPssl reset
3389/tcp  closed ms-wbt-server    reset
3668/tcp  closed unknown          reset
3669/tcp  closed casanswmgmt      reset
4988/tcp  closed unknown          reset
5120/tcp  closed unknown          reset
5123/tcp  closed unknown          reset
5869/tcp  closed unknown          reset
5900/tcp  closed vnc              reset
5901/tcp  closed vnc-1            reset
5981/tcp  closed unknown          reset
8080/tcp  closed http-proxy       reset
8192/tcp  closed sophos           reset
8889/tcp  closed ddi-tcp-2        reset
9300/tcp  closed vrace            reset
17988/tcp closed unknown          reset
17990/tcp closed unknown          reset
50000/tcp closed ibm-db2          reset
69/udp    closed tftp             port-unreach
161/udp   closed snmp             port-unreach
162/udp   closed snmptrap         port-unreach
623/udp   closed asf-rmcp         port-unreach
624/udp   closed unknown          port-unreach
1188/udp  closed hp-webadmin      port-unreach
1278/udp  closed unknown          port-unreach
1279/udp  closed dellwebadmin-2   port-unreach
1900/udp  closed upnp             port-unreach
2606/udp  closed unknown          port-unreach
2607/udp  closed unknown          port-unreach
4995/udp  closed unknown          port-unreach
5900/udp  closed rfb              port-unreach
5901/udp  closed unknown          port-unreach
MAC Address: E8:AB:FA:00:2A:F7 (Unknown)
Device type: specialized|webcam
Running: AirMagnet embedded, Foscam embedded, Instar embedded
OS details: AirMagnet SmartEdge wireless sensor, or Foxcam FI8904 or Instar IN-3010 surveillance camera
TCP/IP fingerprint:
OS:SCAN(V=6.01%E=4%D=4/16%OT=80%CT=22%CU=69%PV=Y%DS=1%DC=D%G=Y%M=E8ABFA%TM=
OS:516D7FBC%P=i686-pc-linux-gnu)SEQ(SP=CB%GCD=1%ISR=CC%TI=Z%CI=Z%II=I%TS=7)
OS:OPS(O1=M5B4ST11NW0%O2=M5B4ST11NW0%O3=M5B4NNT11NW0%O4=M5B4ST11NW0%O5=M5B4
OS:ST11NW0%O6=M5B4ST11)WIN(W1=5A8%W2=5A8%W3=5A8%W4=5A8%W5=5A8%W6=5A8)ECN(R=
OS:Y%DF=Y%T=41%W=5B4%O=M5B4NNSNW0%CC=N%Q=)T1(R=Y%DF=Y%T=41%S=O%A=S+%F=AS%RD
OS:=0%Q=)T2(R=N)T3(R=Y%DF=Y%T=41%W=5A8%S=O%A=S+%F=AS%O=M5B4ST11NW0%RD=0%Q=)
OS:T4(R=Y%DF=Y%T=41%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)T5(R=Y%DF=Y%T=41%W=0%S=Z%A=S
OS:+%F=AR%O=%RD=0%Q=)T6(R=Y%DF=Y%T=41%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)T7(R=Y%DF=
OS:Y%T=41%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)U1(R=Y%DF=N%T=41%IPL=164%UN=0%RIPL=G
OS:%RID=G%RIPCK=G%RUCK=G%RUD=G)IE(R=Y%DFI=N%T=41%CD=S)

Uptime guess: 36.652 days (since Sun Mar 10 18:04:53 2013)
Network Distance: 1 hop
TCP Sequence Prediction: Difficulty=203 (Good luck!)
IP ID Sequence Generation: All zeros

Nmap scan report for 192.168.0.23
Host is up, received arp-response (0.00043s latency).
Scanned at 2013-04-16 09:39:29 PDT for 231s
PORT      STATE         SERVICE          REASON       VERSION
22/tcp    open          ssh              syn-ack      OpenSSH 5.2 (protocol 2.0)
|_banner: SSH-2.0-OpenSSH_5.2
23/tcp    closed        telnet           reset
80/tcp    open          http             syn-ack      Mbedthis-Appweb 2.4.2
161/tcp   closed        snmp             reset
162/tcp   closed        snmptrap         reset
443/tcp   open          ssl/http         syn-ack      Mbedthis-Appweb 2.4.2 (Dell iDRAC6 http config)
555/tcp   closed        dsf              reset
623/tcp   closed        oob-ws-http      reset
1188/tcp  closed        hp-webadmin      reset
1278/tcp  closed        unknown          reset
1279/tcp  closed        dellwebadmin-2   reset
2606/tcp  closed        netmon           reset
2607/tcp  closed        connection       reset
3002/tcp  closed        exlm-agent       reset
3269/tcp  closed        globalcatLDAPssl reset
3389/tcp  closed        ms-wbt-server    reset
3668/tcp  closed        unknown          reset
3669/tcp  closed        casanswmgmt      reset
4988/tcp  closed        unknown          reset
5120/tcp  closed        unknown          reset
5123/tcp  closed        unknown          reset
5869/tcp  closed        unknown          reset
5900/tcp  open          vnc?             syn-ack
5901/tcp  closed        vnc-1            reset
5981/tcp  closed        unknown          reset
8080/tcp  closed        http-proxy       reset
8192/tcp  closed        sophos           reset
8889/tcp  closed        ddi-tcp-2        reset
9300/tcp  closed        vrace            reset
17988/tcp closed        unknown          reset
17990/tcp closed        unknown          reset
50000/tcp closed        ibm-db2          reset
69/udp    closed        tftp             port-unreach
161/udp   closed        snmp             port-unreach
162/udp   closed        snmptrap         port-unreach
623/udp   open|filtered asf-rmcp         no-response
624/udp   closed        unknown          port-unreach
1188/udp  closed        hp-webadmin      port-unreach
1278/udp  closed        unknown          port-unreach
1279/udp  closed        dellwebadmin-2   port-unreach
1900/udp  closed        upnp             port-unreach
2606/udp  closed        unknown          port-unreach
2607/udp  closed        unknown          port-unreach
4995/udp  closed        unknown          port-unreach
5900/udp  closed        rfb              port-unreach
5901/udp  closed        unknown          port-unreach
MAC Address: 14:FE:B5:C7:DF:28 (Dell)
Device type: general purpose
Running: Linux 2.6.X
OS CPE: cpe:/o:linux:kernel:2.6
OS details: Linux 2.6.9 - 2.6.31
TCP/IP fingerprint:
OS:SCAN(V=6.01%E=4%D=4/16%OT=22%CT=23%CU=69%PV=Y%DS=1%DC=D%G=Y%M=14FEB5%TM=
OS:516D7FBC%P=i686-pc-linux-gnu)SEQ(SP=CC%GCD=1%ISR=D2%TI=Z%CI=Z%II=I%TS=7)
OS:OPS(O1=M5B4ST11NW2%O2=M5B4ST11NW2%O3=M5B4NNT11NW2%O4=M5B4ST11NW2%O5=M5B4
OS:ST11NW2%O6=M5B4ST11)WIN(W1=16A0%W2=16A0%W3=16A0%W4=16A0%W5=16A0%W6=16A0)
OS:ECN(R=Y%DF=Y%T=41%W=16D0%O=M5B4NNSNW2%CC=N%Q=)T1(R=Y%DF=Y%T=41%S=O%A=S+%
OS:F=AS%RD=0%Q=)T2(R=N)T3(R=Y%DF=Y%T=41%W=16A0%S=O%A=S+%F=AS%O=M5B4ST11NW2%
OS:RD=0%Q=)T4(R=Y%DF=Y%T=41%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)T5(R=Y%DF=Y%T=41%W=0
OS:%S=Z%A=S+%F=AR%O=%RD=0%Q=)T6(R=Y%DF=Y%T=41%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)T7
OS:(R=Y%DF=Y%T=41%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)U1(R=Y%DF=N%T=41%IPL=164%UN=
OS:0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)IE(R=Y%DFI=N%T=41%CD=S)

Uptime guess: 0.768 days (since Mon Apr 15 15:17:33 2013)
Network Distance: 1 hop
TCP Sequence Prediction: Difficulty=204 (Good luck!)
IP ID Sequence Generation: All zeros
Service Info: Device: remote management

Nmap scan report for 192.168.0.46
Host is up, received arp-response (0.048s latency).
Scanned at 2013-04-16 09:39:29 PDT for 234s
PORT      STATE         SERVICE          REASON      VERSION
22/tcp    open          ssh              syn-ack     Cisco/3com IPSSHd 1.10.0 (protocol 2.0)
|_banner: SSH-2.0-IPSSH-1.10.0
23/tcp    open          telnet           syn-ack     HP ProLiant ML110 Interactive Lights Out telnetd
|_banner: \xFF\xFB\x03\xFF\xFB\x01
80/tcp    open          http?            syn-ack
161/tcp   filtered      snmp             no-response
162/tcp   filtered      snmptrap         no-response
443/tcp   open          https?           syn-ack
555/tcp   filtered      dsf              no-response
623/tcp   filtered      oob-ws-http      no-response
1188/tcp  filtered      hp-webadmin      no-response
1278/tcp  filtered      unknown          no-response
1279/tcp  filtered      dellwebadmin-2   no-response
2606/tcp  filtered      netmon           no-response
2607/tcp  filtered      connection       no-response
3002/tcp  filtered      exlm-agent       no-response
3269/tcp  filtered      globalcatLDAPssl no-response
3389/tcp  filtered      ms-wbt-server    no-response
3668/tcp  filtered      unknown          no-response
3669/tcp  filtered      casanswmgmt      no-response
4988/tcp  filtered      unknown          no-response
5120/tcp  filtered      unknown          no-response
5123/tcp  filtered      unknown          no-response
5869/tcp  filtered      unknown          no-response
5900/tcp  filtered      vnc              no-response
5901/tcp  filtered      vnc-1            no-response
5981/tcp  filtered      unknown          no-response
8080/tcp  filtered      http-proxy       no-response
8192/tcp  filtered      sophos           no-response
8889/tcp  filtered      ddi-tcp-2        no-response
9300/tcp  filtered      vrace            no-response
17988/tcp filtered      unknown          no-response
17990/tcp filtered      unknown          no-response
50000/tcp filtered      ibm-db2          no-response
69/udp    open|filtered tftp             no-response
161/udp   open|filtered snmp             no-response
162/udp   open|filtered snmptrap         no-response
623/udp   open|filtered asf-rmcp         no-response
624/udp   open|filtered unknown          no-response
1188/udp  open|filtered hp-webadmin      no-response
1278/udp  open|filtered unknown          no-response
1279/udp  open|filtered dellwebadmin-2   no-response
1900/udp  open|filtered upnp             no-response
2606/udp  open|filtered unknown          no-response
2607/udp  open|filtered unknown          no-response
4995/udp  open|filtered unknown          no-response
5900/udp  open|filtered rfb              no-response
5901/udp  open|filtered unknown          no-response
MAC Address: 00:C0:DD:00:EB:D8 (QLogic)
Warning: OSScan results may be unreliable because we could not find at least 1 open and 1 closed port
Device type: specialized|remote management
Running (JUST GUESSING): Fujitsu Siemens embedded (87%), HP iLO (86%)
OS CPE: cpe:/o:hp:ilo
OS fingerprint not ideal because: Missing a closed TCP port so results incomplete
Aggressive OS guesses: Fujitsu Siemens PRIMERGY RX100 S4 remote manager (87%), Fujitsu Siemens PRIMERGY TX300 SS remote manager (86%), HP iLO 100i Standard remote management interface (86%)
No exact OS matches for host (test conditions non-ideal).
TCP/IP fingerprint:
SCAN(V=6.01%E=4%D=4/16%OT=22%CT=%CU=%PV=Y%DS=1%DC=D%G=N%M=00C0DD%TM=516D7FBC%P=i686-pc-linux-gnu)
SEQ(SP=90%GCD=1%ISR=9D%TI=I%TS=U)
OPS(O1=M10A%O2=M10A%O3=M10A%O4=M10A%O5=M10A%O6=M10A)
WIN(W1=10A%W2=10A%W3=10A%W4=10A%W5=10A%W6=10A)
ECN(R=Y%DF=N%TG=40%W=10A%O=M10A%CC=N%Q=)
T1(R=Y%DF=N%TG=40%S=O%A=S+%F=AS%RD=0%Q=)
T2(R=Y%DF=N%TG=FF%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)
T3(R=N)
T4(R=Y%DF=N%TG=FF%W=0%S=A%A=S+%F=AR%O=%RD=0%Q=)
U1(R=N)
IE(R=Y%DFI=N%TG=FF%CD=Z)

Network Distance: 1 hop
TCP Sequence Prediction: Difficulty=144 (Good luck!)
IP ID Sequence Generation: Incremental

Nmap scan report for 192.168.0.55
Host is up, received arp-response (0.000061s latency).
Scanned at 2013-04-16 09:39:29 PDT for 231s
PORT      STATE         SERVICE          REASON       VERSION
22/tcp    open          ssh              syn-ack      OpenSSH 5.3 (protocol 2.0)
|_banner: SSH-2.0-OpenSSH_5.3
23/tcp    closed        telnet           reset
80/tcp    closed        http             reset
161/tcp   closed        snmp             reset
162/tcp   closed        snmptrap         reset
443/tcp   closed        https            reset
555/tcp   closed        dsf              reset
623/tcp   closed        oob-ws-http      reset
1188/tcp  closed        hp-webadmin      reset
1278/tcp  closed        unknown          reset
1279/tcp  closed        dellwebadmin-2   reset
2606/tcp  closed        netmon           reset
2607/tcp  closed        connection       reset
3002/tcp  open          tcpwrapped       syn-ack
3269/tcp  closed        globalcatLDAPssl reset
3389/tcp  closed        ms-wbt-server    reset
3668/tcp  closed        unknown          reset
3669/tcp  closed        casanswmgmt      reset
4988/tcp  closed        unknown          reset
5120/tcp  closed        unknown          reset
5123/tcp  closed        unknown          reset
5869/tcp  closed        unknown          reset
5900/tcp  closed        vnc              reset
5901/tcp  closed        vnc-1            reset
5981/tcp  closed        unknown          reset
8080/tcp  closed        http-proxy       reset
8192/tcp  closed        sophos           reset
8889/tcp  closed        ddi-tcp-2        reset
9300/tcp  closed        vrace            reset
17988/tcp closed        unknown          reset
17990/tcp closed        unknown          reset
50000/tcp closed        ibm-db2          reset
69/udp    open|filtered tftp             no-response
161/udp   closed        snmp             port-unreach
162/udp   closed        snmptrap         port-unreach
623/udp   closed        asf-rmcp         port-unreach
624/udp   closed        unknown          port-unreach
1188/udp  closed        hp-webadmin      port-unreach
1278/udp  closed        unknown          port-unreach
1279/udp  closed        dellwebadmin-2   port-unreach
1900/udp  open|filtered upnp             no-response
2606/udp  closed        unknown          port-unreach
2607/udp  closed        unknown          port-unreach
4995/udp  closed        unknown          port-unreach
5900/udp  closed        rfb              port-unreach
5901/udp  closed        unknown          port-unreach
MAC Address: 00:25:90:64:2B:82 (Super Micro Computer)
No exact OS matches for host (If you know what OS is running on it, see http://nmap.org/submit/ ).
TCP/IP fingerprint:
OS:SCAN(V=6.01%E=4%D=4/16%OT=22%CT=23%CU=161%PV=Y%DS=1%DC=D%G=Y%M=002590%TM
OS:=516D7FBC%P=i686-pc-linux-gnu)SEQ(SP=102%GCD=1%ISR=105%TI=Z%CI=Z%II=I%TS
OS:=A)OPS(O1=M5B4ST11NW7%O2=M5B4ST11NW7%O3=M5B4NNT11NW7%O4=M5B4ST11NW7%O5=M
OS:5B4ST11NW7%O6=M5B4ST11)WIN(W1=3890%W2=3890%W3=3890%W4=3890%W5=3890%W6=38
OS:90)ECN(R=Y%DF=Y%T=41%W=3908%O=M5B4NNSNW7%CC=Y%Q=)T1(R=Y%DF=Y%T=41%S=O%A=
OS:S+%F=AS%RD=0%Q=)T2(R=N)T3(R=N)T4(R=Y%DF=Y%T=41%W=0%S=A%A=Z%F=R%O=%RD=0%Q
OS:=)T5(R=Y%DF=Y%T=41%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)T6(R=Y%DF=Y%T=41%W=0%S=A
OS:%A=Z%F=R%O=%RD=0%Q=)T7(R=Y%DF=Y%T=41%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)U1(R=Y
OS:%DF=N%T=41%IPL=164%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)IE(R=Y%DFI=N%T
OS:=41%CD=S)

Uptime guess: 19.453 days (since Wed Mar 27 22:51:59 2013)
Network Distance: 1 hop
TCP Sequence Prediction: Difficulty=258 (Good luck!)
IP ID Sequence Generation: All zeros

Nmap scan report for 192.168.0.69
Host is up, received arp-response (0.00034s latency).
Scanned at 2013-04-16 09:39:29 PDT for 251s
PORT      STATE         SERVICE             REASON       VERSION
22/tcp    open          ssh                 syn-ack      Dropbear sshd 0.50 (protocol 2.0)
|_banner: SSH-2.0-dropbear_0.50
23/tcp    closed        telnet              reset
80/tcp    open          http                syn-ack      GoAhead-Webs httpd
161/tcp   closed        snmp                reset
162/tcp   closed        snmptrap            reset
443/tcp   open          ssl/http            syn-ack      GoAhead-Webs httpd
555/tcp   open          dsf?                syn-ack
623/tcp   open          oob-ws-http?        syn-ack
1188/tcp  closed        hp-webadmin         reset
1278/tcp  closed        unknown             reset
1279/tcp  closed        dellwebadmin-2      reset
2606/tcp  closed        netmon              reset
2607/tcp  closed        connection          reset
3002/tcp  closed        exlm-agent          reset
3269/tcp  closed        globalcatLDAPssl    reset
3389/tcp  closed        ms-wbt-server       reset
3668/tcp  closed        unknown             reset
3669/tcp  closed        casanswmgmt         reset
4988/tcp  closed        unknown             reset
5120/tcp  open          ilom-remote-console syn-ack      Sun Interactive Lights Out Manager or SuperMicro IPMI remote console
| banner: IUSB    \x00\x00\x00\x007\x00\x00\x00\x00\x00\x00\x00\x00\x00\x
| 00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\
| x00\xF1\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00
| \x00\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x0
|_0\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00
5123/tcp  open          ilom-remote-console syn-ack      Sun Interactive Lights Out Manager or SuperMicro IPMI remote console
| banner: IUSB    \x00\x00\x00\x007\x00\x00\x00\x00\x00\x00\x00\x00\x00\x
| 00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\
| x00\xF1\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00
| \x00\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x0
|_0\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00
5869/tcp  closed        unknown             reset
5900/tcp  open          ssl/vnc?            syn-ack
5901/tcp  open          ipmi-advertiserd    syn-ack      SuperMicro IPMI advertiserd
|_banner: \x0E\x00\x00\x00\x00\x00\x00
5981/tcp  closed        unknown             reset
8080/tcp  closed        http-proxy          reset
8192/tcp  closed        sophos              reset
8889/tcp  closed        ddi-tcp-2           reset
9300/tcp  closed        vrace               reset
17988/tcp closed        unknown             reset
17990/tcp closed        unknown             reset
50000/tcp open          upnp                syn-ack      SuperMicro IPMI UPnP
69/udp    closed        tftp                port-unreach
161/udp   closed        snmp                port-unreach
162/udp   closed        snmptrap            port-unreach
623/udp   open|filtered asf-rmcp            no-response
624/udp   closed        unknown             port-unreach
1188/udp  closed        hp-webadmin         port-unreach
1278/udp  closed        unknown             port-unreach
1279/udp  closed        dellwebadmin-2      port-unreach
1900/udp  open|filtered upnp                no-response
2606/udp  closed        unknown             port-unreach
2607/udp  closed        unknown             port-unreach
4995/udp  closed        unknown             port-unreach
5900/udp  closed        rfb                 port-unreach
5901/udp  closed        unknown             port-unreach
MAC Address: 00:25:90:6E:33:C3 (Super Micro Computer)
Device type: general purpose
Running: Linux 2.6.X
OS CPE: cpe:/o:linux:kernel:2.6
OS details: Linux 2.6.9 - 2.6.31
TCP/IP fingerprint:
OS:SCAN(V=6.01%E=4%D=4/16%OT=22%CT=23%CU=69%PV=Y%DS=1%DC=D%G=Y%M=002590%TM=
OS:516D7FBC%P=i686-pc-linux-gnu)SEQ(SP=C2%GCD=1%ISR=CB%TI=Z%CI=Z%II=I%TS=7)
OS:OPS(O1=M5B4ST11NW2%O2=M5B4ST11NW2%O3=M5B4NNT11NW2%O4=M5B4ST11NW2%O5=M5B4
OS:ST11NW2%O6=M5B4ST11)WIN(W1=16A0%W2=16A0%W3=16A0%W4=16A0%W5=16A0%W6=16A0)
OS:ECN(R=Y%DF=Y%T=41%W=16D0%O=M5B4NNSNW2%CC=N%Q=)T1(R=Y%DF=Y%T=41%S=O%A=S+%
OS:F=AS%RD=0%Q=)T2(R=N)T3(R=Y%DF=Y%T=41%W=16A0%S=O%A=S+%F=AS%O=M5B4ST11NW2%
OS:RD=0%Q=)T4(R=Y%DF=Y%T=41%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)T5(R=Y%DF=Y%T=41%W=0
OS:%S=Z%A=S+%F=AR%O=%RD=0%Q=)T6(R=Y%DF=Y%T=41%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)T7
OS:(R=Y%DF=Y%T=41%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)U1(R=Y%DF=N%T=41%IPL=164%UN=
OS:0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)IE(R=Y%DFI=N%T=41%CD=S)

Uptime guess: 19.453 days (since Wed Mar 27 22:51:08 2013)
Network Distance: 1 hop
TCP Sequence Prediction: Difficulty=194 (Good luck!)
IP ID Sequence Generation: All zeros
Service Info: OS: Linux; Device: remote management; CPE: cpe:/o:linux:kernel

Nmap scan report for 192.168.0.88
Host is up, received arp-response (0.00016s latency).
Scanned at 2013-04-16 09:39:29 PDT for 221s
PORT      STATE  SERVICE          REASON       VERSION
22/tcp    open   ssh              syn-ack      OpenSSH 5.2 (protocol 2.0)
|_banner: SSH-2.0-OpenSSH_5.2
23/tcp    closed telnet           reset
80/tcp    closed http             reset
161/tcp   closed snmp             reset
162/tcp   closed snmptrap         reset
443/tcp   closed https            reset
555/tcp   closed dsf              reset
623/tcp   closed oob-ws-http      reset
1188/tcp  closed hp-webadmin      reset
1278/tcp  closed unknown          reset
1279/tcp  closed dellwebadmin-2   reset
2606/tcp  closed netmon           reset
2607/tcp  closed connection       reset
3002/tcp  closed exlm-agent       reset
3269/tcp  closed globalcatLDAPssl reset
3389/tcp  closed ms-wbt-server    reset
3668/tcp  closed unknown          reset
3669/tcp  closed casanswmgmt      reset
4988/tcp  closed unknown          reset
5120/tcp  closed unknown          reset
5123/tcp  closed unknown          reset
5869/tcp  closed unknown          reset
5900/tcp  closed vnc              reset
5901/tcp  closed vnc-1            reset
5981/tcp  closed unknown          reset
8080/tcp  closed http-proxy       reset
8192/tcp  closed sophos           reset
8889/tcp  closed ddi-tcp-2        reset
9300/tcp  closed vrace            reset
17988/tcp closed unknown          reset
17990/tcp closed unknown          reset
50000/tcp closed ibm-db2          reset
69/udp    closed tftp             port-unreach
161/udp   closed snmp             port-unreach
162/udp   closed snmptrap         port-unreach
623/udp   closed asf-rmcp         port-unreach
624/udp   closed unknown          port-unreach
1188/udp  closed hp-webadmin      port-unreach
1278/udp  closed unknown          port-unreach
1279/udp  closed dellwebadmin-2   port-unreach
1900/udp  closed upnp             port-unreach
2606/udp  closed unknown          port-unreach
